STATE_CODE,STATE,YEAR,POPESTIMATE,PPOPCHG,NPOPCHG
AL,Alabama,2010,4785437,0.111126801,5312
AK,Alaska,2010,713910,0.515453031,3661
AZ,Arizona,2010,6407172,0.232843076,14884
AR,Arkansas,2010,2921964,0.203461486,5933
CA,California,2010,37319502,0.174429846,64983
CO,Colorado,2010,5047349,0.35849784,18030
CT,Connecticut,2010,3579114,0.138970221,4967
DE,Delaware,2010,899593,0.184422738,1656
FL,Florida,2010,18845537,0.217888593,40973
GA,Georgia,2010,9711881,0.238958072,23152
HI,Hawaii,2010,1363963,0.26876286,3656
ID,Idaho,2010,1570746,0.197045655,3089
IL,Illinois,2010,12840503,0.06960176,8931
IN,Indiana,2010,6490432,0.0984107,6381
IA,Iowa,2010,3050745,0.127146834,3874
KS,Kansas,2010,2858190,0.177594867,5067
KY,Kentucky,2010,4348181,0.203902305,8848
LA,Louisiana,2010,4544532,0.243631448,11045
ME,Maine,2010,1327629,-0.054879784,-729
MD,Maryland,2010,5788645,0.257213887,14851
MA,Massachusetts,2010,6566307,0.282874285,18522
MI,Michigan,2010,9877510,-0.066834505,-6606
MN,Minnesota,2010,5310828,0.130111142,6901
MS,Mississippi,2010,2970548,0.081465435,2418
MO,Missouri,2010,5995974,0.117282662,7024
MT,Montana,2010,990697,0.130381127,1290
NE,Nebraska,2010,1829542,0.177243122,3237
NV,Nevada,2010,2702405,0.063983957,1728
NH,New Hampshire,2010,1316762,0.022788352,300
NJ,New Jersey,2010,8799446,0.084941068,7468
NM,New Mexico,2010,2064552,0.259955449,5353
NY,New York,2010,19399878,0.112157284,21734
NC,North Carolina,2010,9574323,0.404498817,38572
ND,North Dakota,2010,674715,0.318030974,2139
OH,Ohio,2010,11539336,0.022406655,2585
OK,Oklahoma,2010,3759944,0.222892636,8362
OR,Oregon,2010,3837491,0.167367992,6412
PA,Pennsylvania,2010,12711160,0.065276597,8292
RI,Rhode Island,2010,1053959,0.094495158,995
SC,South Carolina,2010,4635649,0.222317542,10283
SD,South Dakota,2010,816166,0.241710247,1968
TN,Tennessee,2010,6355311,0.142366957,9035
TX,Texas,2010,25241971,0.381291868,95880
UT,Utah,2010,2775332,0.413945413,11441
VT,Vermont,2010,625879,0.02269324,142
VA,Virginia,2010,8023699,0.28308788,22650
WA,Washington,2010,6742830,0.271988865,18290
WV,West Virginia,2010,1854239,0.065892506,1221
WI,Wisconsin,2010,5690475,0.056090032,3190
WY,Wyoming,2010,564487,0.126291517,712
AL,Alabama,2011,4799069,0.284864266,13632
AK,Alaska,2011,722128,1.151125492,8218
AZ,Arizona,2011,6472643,1.021839276,65471
AR,Arkansas,2011,2940667,0.640083177,18703
CA,California,2011,37638369,0.854424585,318867
CO,Colorado,2011,5121108,1.461341389,73759
CT,Connecticut,2011,3588283,0.25618072,9169
DE,Delaware,2011,907381,0.865724833,7788
FL,Florida,2011,19053237,1.102117706,207700
GA,Georgia,2011,9802431,0.932363154,90550
HI,Hawaii,2011,1379329,1.126570149,15366
ID,Idaho,2011,1583910,0.838073119,13164
IL,Illinois,2011,12867454,0.209890532,26951
IN,Indiana,2011,6516528,0.402068768,26096
